ICD-10 113 Cause List,ICD-10 113 Cause List Code,State,State Code,Gender,Gender Code,Ten-Year Age Groups,Ten-Year Age Groups Code,Deaths,Population,Crude Rate
Cancer,GR113-019,Connecticut,9,Male,M,45-54 years,45-54,4551,4960608,91.7
Cancer,GR113-019,Connecticut,9,Male,M,55-64 years,55-64,11298,3795436,297.7
Cancer,GR113-019,Connecticut,9,Male,M,65-74 years,65-74,16668,2252997,739.8
Cancer,GR113-019,Connecticut,9,Male,M,75-84 years,75-84,19859,1315813,1509.3
Cancer,GR113-019,Connecticut,9,Male,M,85+ years,85+,11461,471888,2428.8
Cancer,GR113-019,Delaware,10,Female,F,1-4 years,4-Jan,16,406859,0
Cancer,GR113-019,Delaware,10,Female,F,5-14 years,14-May,24,1046791,2.3
Cancer,GR113-019,Delaware,10,Female,F,15-24 years,15-24,28,1135222,2.5
Cancer,GR113-019,Delaware,10,Female,F,25-34 years,25-34,102,1089133,9.4
Cancer,GR113-019,Delaware,10,Female,F,35-44 years,35-44,452,1160023,39
Cancer,GR113-019,Delaware,10,Female,F,45-54 years,45-54,1455,1210388,120.2
Cancer,GR113-019,Delaware,10,Female,F,55-64 years,55-64,3040,1033622,294.1
Cancer,GR113-019,Delaware,10,Female,F,65-74 years,65-74,4343,738694,587.9
Cancer,GR113-019,Delaware,10,Female,F,75-84 years,75-84,4729,444924,1062.9
Cancer,GR113-019,Delaware,10,Female,F,85+ years,85+,2689,188043,1430
Cancer,GR113-019,Delaware,10,Male,M,5-14 years,14-May,19,1089202,0
Cancer,GR113-019,Delaware,10,Male,M,15-24 years,15-24,50,1150774,4.3
Cancer,GR113-019,Delaware,10,Male,M,25-34 years,25-34,82,1066419,7.7
Cancer,GR113-019,Delaware,10,Male,M,35-44 years,35-44,316,1106228,28.6
Cancer,GR113-019,Delaware,10,Male,M,45-54 years,45-54,1420,1126820,126
Cancer,GR113-019,Delaware,10,Male,M,55-64 years,55-64,3443,920243,374.1
Cancer,GR113-019,Delaware,10,Male,M,65-74 years,65-74,5388,638259,844.2
Cancer,GR113-019,Delaware,10,Male,M,75-84 years,75-84,5424,330758,1639.9
Cancer,GR113-019,Delaware,10,Male,M,85+ years,85+,2268,90369,2509.7
Cancer,GR113-019,District of Columbia,11,Female,F,5-14 years,14-May,12,552570,0
Cancer,GR113-019,District of Columbia,11,Female,F,15-24 years,15-24,15,963291,0
Cancer,GR113-019,District of Columbia,11,Female,F,25-34 years,25-34,105,1225965,8.6
Cancer,GR113-019,District of Columbia,11,Female,F,35-44 years,35-44,369,824057,44.8
Cancer,GR113-019,District of Columbia,11,Female,F,45-54 years,45-54,1085,736812,147.3
Cancer,GR113-019,District of Columbia,11,Female,F,55-64 years,55-64,2070,627634,329.8
Cancer,GR113-019,District of Columbia,11,Female,F,65-74 years,65-74,2461,405475,606.9
Cancer,GR113-019,District of Columbia,11,Female,F,75-84 years,75-84,2819,271086,1039.9
Cancer,GR113-019,District of Columbia,11,Female,F,85+ years,85+,2029,133635,1518.3
Cancer,GR113-019,District of Columbia,11,Male,M,1-4 years,4-Jan,12,267913,0
Cancer,GR113-019,District of Columbia,11,Male,M,5-14 years,14-May,11,558040,0
Cancer,GR113-019,District of Columbia,11,Male,M,15-24 years,15-24,24,832470,2.9
Cancer,GR113-019,District of Columbia,11,Male,M,25-34 years,25-34,84,1103076,7.6
Cancer,GR113-019,District of Columbia,11,Male,M,35-44 years,35-44,274,831446,33
Cancer,GR113-019,District of Columbia,11,Male,M,45-54 years,45-54,1106,703173,157.3
Cancer,GR113-019,District of Columbia,11,Male,M,55-64 years,55-64,2425,536422,452.1
Cancer,GR113-019,District of Columbia,11,Male,M,65-74 years,65-74,2906,312411,930.2
Cancer,GR113-019,District of Columbia,11,Male,M,75-84 years,75-84,2633,164226,1603.3
Cancer,GR113-019,District of Columbia,11,Male,M,85+ years,85+,1445,56170,2572.5
Cancer,GR113-019,Florida,12,Female,F,< 1 year,1,31,1973486,1.6
Cancer,GR113-019,Florida,12,Female,F,1-4 years,4-Jan,173,7827553,2.2
Cancer,GR113-019,Florida,12,Female,F,5-14 years,14-May,435,20406137,2.1
Cancer,GR113-019,Florida,12,Female,F,15-24 years,15-24,628,21572745,2.9
Cancer,GR113-019,Florida,12,Female,F,25-34 years,25-34,2171,21721694,10
Cancer,GR113-019,Florida,12,Female,F,35-44 years,35-44,8917,23776765,37.5
Cancer,GR113-019,Florida,12,Female,F,45-54 years,45-54,28719,24707229,116.2
Cancer,GR113-019,Florida,12,Female,F,55-64 years,55-64,58030,21902325,264.9
Cancer,GR113-019,Florida,12,Female,F,65-74 years,65-74,89265,17664336,505.3
Cancer,GR113-019,Florida,12,Female,F,75-84 years,75-84,104717,11899618,880
Cancer,GR113-019,Florida,12,Female,F,85+ years,85+,67151,5114025,1313.1
Cancer,GR113-019,Florida,12,Male,M,< 1 year,1,21,2060399,1
Cancer,GR113-019,Florida,12,Male,M,1-4 years,4-Jan,218,8186098,2.7
Cancer,GR113-019,Florida,12,Male,M,5-14 years,14-May,516,21356305,2.4
Cancer,GR113-019,Florida,12,Male,M,15-24 years,15-24,1070,22732520,4.7
Cancer,GR113-019,Florida,12,Male,M,25-34 years,25-34,1973,22084208,8.9
Cancer,GR113-019,Florida,12,Male,M,35-44 years,35-44,6853,23484072,29.2
Cancer,GR113-019,Florida,12,Male,M,45-54 years,45-54,30106,23577269,127.7
Cancer,GR113-019,Florida,12,Male,M,55-64 years,55-64,73934,19567060,377.8
Cancer,GR113-019,Florida,12,Male,M,65-74 years,65-74,116618,15350947,759.7
Cancer,GR113-019,Florida,12,Male,M,75-84 years,75-84,126746,9353101,1355.1
Cancer,GR113-019,Florida,12,Male,M,85+ years,85+,64382,2937153,2192
Cancer,GR113-019,Georgia,13,Female,F,< 1 year,1,28,1232007,2.3
Cancer,GR113-019,Georgia,13,Female,F,1-4 years,4-Jan,105,4896633,2.1
Cancer,GR113-019,Georgia,13,Female,F,5-14 years,14-May,247,12425326,2
Cancer,GR113-019,Georgia,13,Female,F,15-24 years,15-24,378,12442659,3
Cancer,GR113-019,Georgia,13,Female,F,25-34 years,25-34,1293,12795825,10.1
Cancer,GR113-019,Georgia,13,Female,F,35-44 years,35-44,4952,13367434,37
Cancer,GR113-019,Georgia,13,Female,F,45-54 years,45-54,14494,12626411,114.8
Cancer,GR113-019,Georgia,13,Female,F,55-64 years,55-64,26772,9706711,275.8
Cancer,GR113-019,Georgia,13,Female,F,65-74 years,65-74,34329,6155528,557.7
Cancer,GR113-019,Georgia,13,Female,F,75-84 years,75-84,33672,3547890,949.1
Cancer,GR113-019,Georgia,13,Female,F,85+ years,85+,19090,1479424,1290.4
Cancer,GR113-019,Georgia,13,Male,M,< 1 year,1,21,1286464,1.6
Cancer,GR113-019,Georgia,13,Male,M,1-4 years,4-Jan,111,5098449,2.2
Cancer,GR113-019,Georgia,13,Male,M,5-14 years,14-May,293,12944306,2.3
Cancer,GR113-019,Georgia,13,Male,M,15-24 years,15-24,533,13084537,4.1
Cancer,GR113-019,Georgia,13,Male,M,25-34 years,25-34,1136,12651072,9
Cancer,GR113-019,Georgia,13,Male,M,35-44 years,35-44,3639,12901556,28.2
Cancer,GR113-019,Georgia,13,Male,M,45-54 years,45-54,14973,11968959,125.1
Cancer,GR113-019,Georgia,13,Male,M,55-64 years,55-64,34440,8806466,391.1
Cancer,GR113-019,Georgia,13,Male,M,65-74 years,65-74,44781,5157882,868.2
Cancer,GR113-019,Georgia,13,Male,M,75-84 years,75-84,37538,2348499,1598.4
Cancer,GR113-019,Georgia,13,Male,M,85+ years,85+,15225,610059,2495.7
Cancer,GR113-019,Hawaii,15,Female,F,5-14 years,14-May,30,1533096,2
Cancer,GR113-019,Hawaii,15,Female,F,15-24 years,15-24,62,1568219,4
Cancer,GR113-019,Hawaii,15,Female,F,25-34 years,25-34,151,1691105,8.9
Cancer,GR113-019,Hawaii,15,Female,F,35-44 years,35-44,560,1694486,33
Cancer,GR113-019,Hawaii,15,Female,F,45-54 years,45-54,1687,1743554,96.8
Cancer,GR113-019,Hawaii,15,Female,F,55-64 years,55-64,3325,1491632,222.9
Cancer,GR113-019,Hawaii,15,Female,F,65-74 years,65-74,4364,1027977,424.5
Cancer,GR113-019,Hawaii,15,Female,F,75-84 years,75-84,5107,690791,739.3
Cancer,GR113-019,Hawaii,15,Female,F,85+ years,85+,3517,331433,1061.1
Cancer,GR113-019,Hawaii,15,Male,M,1-4 years,4-Jan,19,662901,0
Cancer,GR113-019,Hawaii,15,Male,M,5-14 years,14-May,39,1620334,2.4
Cancer,GR113-019,Hawaii,15,Male,M,15-24 years,15-24,87,1821823,4.8
Cancer,GR113-019,Hawaii,15,Male,M,25-34 years,25-34,178,1840771,9.7
Cancer,GR113-019,Hawaii,15,Male,M,35-44 years,35-44,461,1738559,26.5
Cancer,GR113-019,Hawaii,15,Male,M,45-54 years,45-54,1776,1744397,101.8
Cancer,GR113-019,Hawaii,15,Male,M,55-64 years,55-64,4376,1451400,301.5
Cancer,GR113-019,Hawaii,15,Male,M,65-74 years,65-74,5987,915342,654.1
Cancer,GR113-019,Hawaii,15,Male,M,75-84 years,75-84,6485,518097,1251.7
Cancer,GR113-019,Hawaii,15,Male,M,85+ years,85+,3788,198769,1905.7
Cancer,GR113-019,Idaho,16,Female,F,1-4 years,4-Jan,18,829636,0
Cancer,GR113-019,Idaho,16,Female,F,5-14 years,14-May,42,2108340,2
Cancer,GR113-019,Idaho,16,Female,F,15-24 years,15-24,54,2047557,2.6
Cancer,GR113-019,Idaho,16,Female,F,25-34 years,25-34,133,1830499,7.3
Cancer,GR113-019,Idaho,16,Female,F,35-44 years,35-44,539,1829783,29.5
Cancer,GR113-019,Idaho,16,Female,F,45-54 years,45-54,1751,1860914,94.1
Cancer,GR113-019,Idaho,16,Female,F,55-64 years,55-64,3728,1558373,239.2
Cancer,GR113-019,Idaho,16,Female,F,65-74 years,65-74,5563,1039285,535.3
Cancer,GR113-019,Idaho,16,Female,F,75-84 years,75-84,6057,630854,960.1
Cancer,GR113-019,Idaho,16,Female,F,85+ years,85+,3922,286313,1369.8
Cancer,GR113-019,Idaho,16,Male,M,1-4 years,4-Jan,18,868729,0
Cancer,GR113-019,Idaho,16,Male,M,5-14 years,14-May,50,2223001,2.2
Cancer,GR113-019,Idaho,16,Male,M,15-24 years,15-24,89,2157343,4.1
Cancer,GR113-019,Idaho,16,Male,M,25-34 years,25-34,177,1910931,9.3
Cancer,GR113-019,Idaho,16,Male,M,35-44 years,35-44,447,1870461,23.9
Cancer,GR113-019,Idaho,16,Male,M,45-54 years,45-54,1699,1852502,91.7
Cancer,GR113-019,Idaho,16,Male,M,55-64 years,55-64,4456,1532936,290.7
Cancer,GR113-019,Idaho,16,Male,M,65-74 years,65-74,6915,992038,697
Cancer,GR113-019,Idaho,16,Male,M,75-84 years,75-84,7572,511340,1480.8
Cancer,GR113-019,Idaho,16,Male,M,85+ years,85+,3804,158791,2395.6
Cancer,GR113-019,Illinois,17,Female,F,< 1 year,1,33,1548015,2.1
Cancer,GR113-019,Illinois,17,Female,F,1-4 years,4-Jan,119,6239118,1.9
Cancer,GR113-019,Illinois,17,Female,F,5-14 years,14-May,316,16223708,1.9
Cancer,GR113-019,Illinois,17,Female,F,15-24 years,15-24,537,16453639,3.3
Cancer,GR113-019,Illinois,17,Female,F,25-34 years,25-34,1522,16738770,9.1
Cancer,GR113-019,Illinois,17,Female,F,35-44 years,35-44,5983,17146088,34.9
Cancer,GR113-019,Illinois,17,Female,F,45-54 years,45-54,19690,17072740,115.3
Cancer,GR113-019,Illinois,17,Female,F,55-64 years,55-64,38401,13515054,284.1
Cancer,GR113-019,Illinois,17,Female,F,65-74 years,65-74,54838,8908751,615.6
Cancer,GR113-019,Illinois,17,Female,F,75-84 years,75-84,63713,6078492,1048.2
Cancer,GR113-019,Illinois,17,Female,F,85+ years,85+,42812,2978388,1437.4
Cancer,GR113-019,Illinois,17,Male,M,< 1 year,1,35,1615693,2.2
Cancer,GR113-019,Illinois,17,Male,M,1-4 years,4-Jan,160,6503620,2.5
Cancer,GR113-019,Illinois,17,Male,M,5-14 years,14-May,399,16947170,2.4
Cancer,GR113-019,Illinois,17,Male,M,15-24 years,15-24,780,17287939,4.5
Cancer,GR113-019,Illinois,17,Male,M,25-34 years,25-34,1411,16969421,8.3
Cancer,GR113-019,Illinois,17,Male,M,35-44 years,35-44,4525,17000107,26.6
Cancer,GR113-019,Illinois,17,Male,M,45-54 years,45-54,18657,16524697,112.9
Cancer,GR113-019,Illinois,17,Male,M,55-64 years,55-64,45179,12562489,359.6
Cancer,GR113-019,Illinois,17,Male,M,65-74 years,65-74,64121,7487244,856.4
Cancer,GR113-019,Illinois,17,Male,M,75-84 years,75-84,67724,4117989,1644.6
Cancer,GR113-019,Illinois,17,Male,M,85+ years,85+,33510,1313917,2550.4
Cancer,GR113-019,Indiana,18,Female,F,< 1 year,1,18,786619,0
Cancer,GR113-019,Indiana,18,Female,F,1-4 years,4-Jan,66,3172176,2.1
Cancer,GR113-019,Indiana,18,Female,F,5-14 years,14-May,166,8243904,2
Cancer,GR113-019,Indiana,18,Female,F,15-24 years,15-24,263,8550315,3.1
Cancer,GR113-019,Indiana,18,Female,F,25-34 years,25-34,772,7839701,9.8
Cancer,GR113-019,Indiana,18,Female,F,35-44 years,35-44,3234,8326630,38.8
Cancer,GR113-019,Indiana,18,Female,F,45-54 years,45-54,10438,8547976,122.1
Cancer,GR113-019,Indiana,18,Female,F,55-64 years,55-64,20519,6956581,295
Cancer,GR113-019,Indiana,18,Female,F,65-74 years,65-74,29702,4660292,637.3
Cancer,GR113-019,Indiana,18,Female,F,75-84 years,75-84,32594,3123475,1043.5
Cancer,GR113-019,Indiana,18,Female,F,85+ years,85+,20136,1451309,1387.4
Cancer,GR113-019,Indiana,18,Male,M,< 1 year,1,12,824796,0
Cancer,GR113-019,Indiana,18,Male,M,1-4 years,4-Jan,88,3323174,2.6
Cancer,GR113-019,Indiana,18,Male,M,5-14 years,14-May,226,8648601,2.6
Cancer,GR113-019,Indiana,18,Male,M,15-24 years,15-24,365,8907455,4.1
Cancer,GR113-019,Indiana,18,Male,M,25-34 years,25-34,724,7933765,9.1
Cancer,GR113-019,Indiana,18,Male,M,35-44 years,35-44,2537,8317778,30.5
Cancer,GR113-019,Indiana,18,Male,M,45-54 years,45-54,10925,8397924,130.1
Cancer,GR113-019,Indiana,18,Male,M,55-64 years,55-64,26028,6571056,396.1
Cancer,GR113-019,Indiana,18,Male,M,65-74 years,65-74,36945,3987228,926.6
Cancer,GR113-019,Indiana,18,Male,M,75-84 years,75-84,36533,2129814,1715.3
Cancer,GR113-019,Indiana,18,Male,M,85+ years,85+,16218,638638,2539.5
Cancer,GR113-019,Iowa,19,Female,F,1-4 years,4-Jan,25,1444635,1.7
Cancer,GR113-019,Iowa,19,Female,F,5-14 years,14-May,75,3749582,2
Cancer,GR113-019,Iowa,19,Female,F,15-24 years,15-24,117,4049078,2.9
Cancer,GR113-019,Iowa,19,Female,F,25-34 years,25-34,333,3463502,9.6
Cancer,GR113-019,Iowa,19,Female,F,35-44 years,35-44,1253,3685998,34
Cancer,GR113-019,Iowa,19,Female,F,45-54 years,45-54,4381,3954606,110.8
Cancer,GR113-019,Iowa,19,Female,F,55-64 years,55-64,8766,3299651,265.7
Cancer,GR113-019,Iowa,19,Female,F,65-74 years,65-74,13314,2321848,573.4
Cancer,GR113-019,Iowa,19,Female,F,75-84 years,75-84,16999,1743426,975
Cancer,GR113-019,Iowa,19,Female,F,85+ years,85+,12818,955691,1341.2
Cancer,GR113-019,Iowa,19,Male,M,1-4 years,4-Jan,46,1511742,3
Cancer,GR113-019,Iowa,19,Male,M,5-14 years,14-May,113,3942937,2.9
Cancer,GR113-019,Iowa,19,Male,M,15-24 years,15-24,177,4266927,4.1
Cancer,GR113-019,Iowa,19,Male,M,25-34 years,25-34,304,3610925,8.4
Cancer,GR113-019,Iowa,19,Male,M,35-44 years,35-44,1016,3745984,27.1
Cancer,GR113-019,Iowa,19,Male,M,45-54 years,45-54,4310,3974994,108.4
Cancer,GR113-019,Iowa,19,Male,M,55-64 years,55-64,11045,3225967,342.4
Cancer,GR113-019,Iowa,19,Male,M,65-74 years,65-74,17002,2046748,830.7
Cancer,GR113-019,Iowa,19,Male,M,75-84 years,75-84,19453,1232295,1578.6
Cancer,GR113-019,Iowa,19,Male,M,85+ years,85+,10464,423551,2470.5
Cancer,GR113-019,Kansas,20,Female,F,1-4 years,4-Jan,40,1454050,2.8
Cancer,GR113-019,Kansas,20,Female,F,5-14 years,14-May,74,3675182,2
Cancer,GR113-019,Kansas,20,Female,F,15-24 years,15-24,105,3790639,2.8
Cancer,GR113-019,Kansas,20,Female,F,25-34 years,25-34,304,3382527,9
Cancer,GR113-019,Kansas,20,Female,F,35-44 years,35-44,1222,3488401,35
Cancer,GR113-019,Kansas,20,Female,F,45-54 years,45-54,3918,3636698,107.7
Cancer,GR113-019,Kansas,20,Female,F,55-64 years,55-64,7893,2933087,269.1
Cancer,GR113-019,Kansas,20,Female,F,65-74 years,65-74,11417,1970776,579.3
Cancer,GR113-019,Kansas,20,Female,F,75-84 years,75-84,13951,1418327,983.6
Cancer,GR113-019,Kansas,20,Female,F,85+ years,85+,9957,751412,1325.1
Cancer,GR113-019,Kansas,20,Male,M,1-4 years,4-Jan,40,1521638,2.6
Cancer,GR113-019,Kansas,20,Male,M,5-14 years,14-May,101,3872995,2.6
Cancer,GR113-019,Kansas,20,Male,M,15-24 years,15-24,159,4074580,3.9
Cancer,GR113-019,Kansas,20,Male,M,25-34 years,25-34,290,3530333,8.2
Cancer,GR113-019,Kansas,20,Male,M,35-44 years,35-44,947,3528849,26.8
Cancer,GR113-019,Kansas,20,Male,M,45-54 years,45-54,3997,3608907,110.8
Cancer,GR113-019,Kansas,20,Male,M,55-64 years,55-64,9966,2829583,352.2
Cancer,GR113-019,Kansas,20,Male,M,65-74 years,65-74,14325,1732291,826.9
Cancer,GR113-019,Kansas,20,Male,M,75-84 years,75-84,15565,1016304,1531.5
Cancer,GR113-019,Kansas,20,Male,M,85+ years,85+,8307,349045,2379.9
Cancer,GR113-019,Kentucky,21,Female,F,1-4 years,4-Jan,45,2035999,2.2
Cancer,GR113-019,Kentucky,21,Female,F,5-14 years,14-May,115,5204339,2.2
Cancer,GR113-019,Kentucky,21,Female,F,15-24 years,15-24,166,5444297,3
Cancer,GR113-019,Kentucky,21,Female,F,25-34 years,25-34,575,5313840,10.8
Cancer,GR113-019,Kentucky,21,Female,F,35-44 years,35-44,2417,5658299,42.7
Cancer,GR113-019,Kentucky,21,Female,F,45-54 years,45-54,7983,5857420,136.3
Cancer,GR113-019,Kentucky,21,Female,F,55-64 years,55-64,16399,4876877,336.3
Cancer,GR113-019,Kentucky,21,Female,F,65-74 years,65-74,22660,3318067,682.9
Cancer,GR113-019,Kentucky,21,Female,F,75-84 years,75-84,22324,2085300,1070.5
Cancer,GR113-019,Kentucky,21,Female,F,85+ years,85+,12751,890703,1431.6
Cancer,GR113-019,Kentucky,21,Male,M,< 1 year,1,13,537488,0
Cancer,GR113-019,Kentucky,21,Male,M,1-4 years,4-Jan,48,2134685,2.2
Cancer,GR113-019,Kentucky,21,Male,M,5-14 years,14-May,134,5476132,2.4
Cancer,GR113-019,Kentucky,21,Male,M,15-24 years,15-24,212,5711590,3.7
Cancer,GR113-019,Kentucky,21,Male,M,25-34 years,25-34,556,5384673,10.3
Cancer,GR113-019,Kentucky,21,Male,M,35-44 years,35-44,2090,5625826,37.2
Cancer,GR113-019,Kentucky,21,Male,M,45-54 years,45-54,8746,5680372,154
Cancer,GR113-019,Kentucky,21,Male,M,55-64 years,55-64,21168,4559064,464.3
Cancer,GR113-019,Kentucky,21,Male,M,65-74 years,65-74,29398,2851979,1030.8
Cancer,GR113-019,Kentucky,21,Male,M,75-84 years,75-84,26049,1420800,1833.4
Cancer,GR113-019,Kentucky,21,Male,M,85+ years,85+,10265,382265,2685.3
Cancer,GR113-019,Louisiana,22,Female,F,1-4 years,4-Jan,55,2325793,2.4
Cancer,GR113-019,Louisiana,22,Female,F,5-14 years,14-May,119,5878895,2
Cancer,GR113-019,Louisiana,22,Female,F,15-24 years,15-24,230,6329102,3.6
Cancer,GR113-019,Louisiana,22,Female,F,25-34 years,25-34,663,5937120,11.2
Cancer,GR113-019,Louisiana,22,Female,F,35-44 years,35-44,2622,5870278,44.7
Cancer,GR113-019,Louisiana,22,Female,F,45-54 years,45-54,8187,6065416,135
Cancer,GR113-019,Louisiana,22,Female,F,55-64 years,55-64,15293,4941469,309.5
Cancer,GR113-019,Louisiana,22,Female,F,65-74 years,65-74,20723,3297667,628.4
Cancer,GR113-019,Louisiana,22,Female,F,75-84 years,75-84,21423,2080917,1029.5
Cancer,GR113-019,Louisiana,22,Female,F,85+ years,85+,12095,855036,1414.6
Cancer,GR113-019,Louisiana,22,Male,M,< 1 year,1,13,610424,0
Cancer,GR113-019,Louisiana,22,Male,M,1-4 years,4-Jan,53,2420582,2.2
Cancer,GR113-019,Louisiana,22,Male,M,5-14 years,14-May,146,6137207,2.4
Cancer,GR113-019,Louisiana,22,Male,M,15-24 years,15-24,303,6427453,4.7
Cancer,GR113-019,Louisiana,22,Male,M,25-34 years,25-34,554,5855944,9.5
Cancer,GR113-019,Louisiana,22,Male,M,35-44 years,35-44,2033,5673680,35.8
Cancer,GR113-019,Louisiana,22,Male,M,45-54 years,45-54,9148,5783545,158.2
Cancer,GR113-019,Louisiana,22,Male,M,55-64 years,55-64,21168,4553721,464.9
Cancer,GR113-019,Louisiana,22,Male,M,65-74 years,65-74,26839,2759582,972.6
Cancer,GR113-019,Louisiana,22,Male,M,75-84 years,75-84,24736,1404565,1761.1
Cancer,GR113-019,Louisiana,22,Male,M,85+ years,85+,10138,388045,2612.6
Cancer,GR113-019,Maine,23,Female,F,5-14 years,14-May,39,1462436,2.7
Cancer,GR113-019,Maine,23,Female,F,15-24 years,15-24,51,1537083,3.3
Cancer,GR113-019,Maine,23,Female,F,25-34 years,25-34,125,1441201,8.7
Cancer,GR113-019,Maine,23,Female,F,35-44 years,35-44,615,1761676,34.9
Cancer,GR113-019,Maine,23,Female,F,45-54 years,45-54,2197,1992911,110.2
Cancer,GR113-019,Maine,23,Female,F,55-64 years,55-64,4800,1690860,283.9
Cancer,GR113-019,Maine,23,Female,F,65-74 years,65-74,7062,1145438,616.5
Cancer,GR113-019,Maine,23,Female,F,75-84 years,75-84,8356,758044,1102.3
Cancer,GR113-019,Maine,23,Female,F,85+ years,85+,5474,361410,1514.6
Cancer,GR113-019,Maine,23,Male,M,1-4 years,4-Jan,17,539648,0
Cancer,GR113-019,Maine,23,Male,M,5-14 years,14-May,33,1540514,2.1
Cancer,GR113-019,Maine,23,Male,M,15-24 years,15-24,70,1611785,4.3
Cancer,GR113-019,Maine,23,Male,M,25-34 years,25-34,133,1410966,9.4
Cancer,GR113-019,Maine,23,Male,M,35-44 years,35-44,446,1698508,26.3
Cancer,GR113-019,Maine,23,Male,M,45-54 years,45-54,2331,1924149,121.1
Cancer,GR113-019,Maine,23,Male,M,55-64 years,55-64,5921,1619368,365.6
Cancer,GR113-019,Maine,23,Male,M,65-74 years,65-74,8771,1033979,848.3
Cancer,GR113-019,Maine,23,Male,M,75-84 years,75-84,9344,550966,1695.9
Cancer,GR113-019,Maine,23,Male,M,85+ years,85+,4621,166645,2773
Cancer,GR113-019,Maryland,24,Female,F,1-4 years,4-Jan,58,2710013,2.1
Cancer,GR113-019,Maryland,24,Female,F,5-14 years,14-May,143,7072206,2
Cancer,GR113-019,Maryland,24,Female,F,15-24 years,15-24,205,7101219,2.9
Cancer,GR113-019,Maryland,24,Female,F,25-34 years,25-34,659,7446401,8.8
Cancer,GR113-019,Maryland,24,Female,F,35-44 years,35-44,2974,8223895,36.2
Cancer,GR113-019,Maryland,24,Female,F,45-54 years,45-54,9449,8381408,112.7
Cancer,GR113-019,Maryland,24,Female,F,55-64 years,55-64,17531,6465773,271.1
Cancer,GR113-019,Maryland,24,Female,F,65-74 years,65-74,23328,4028898,579
Cancer,GR113-019,Maryland,24,Female,F,75-84 years,75-84,26513,2556672,1037
Cancer,GR113-019,Maryland,24,Female,F,85+ years,85+,16671,1189731,1401.2
Cancer,GR113-019,Maryland,24,Male,M,1-4 years,4-Jan,71,2818417,2.5
Cancer,GR113-019,Maryland,24,Male,M,5-14 years,14-May,189,7363733,2.6
Cancer,GR113-019,Maryland,24,Male,M,15-24 years,15-24,320,7368803,4.3
Cancer,GR113-019,Maryland,24,Male,M,25-34 years,25-34,628,7143746,8.8
Cancer,GR113-019,Maryland,24,Male,M,35-44 years,35-44,2113,7682864,27.5
Cancer,GR113-019,Maryland,24,Male,M,45-54 years,45-54,8693,7729088,112.5
Cancer,GR113-019,Maryland,24,Male,M,55-64 years,55-64,19991,5836051,342.5
Cancer,GR113-019,Maryland,24,Male,M,65-74 years,65-74,27284,3373457,808.8
Cancer,GR113-019,Maryland,24,Male,M,75-84 years,75-84,27761,1745014,1590.9
Cancer,GR113-019,Maryland,24,Male,M,85+ years,85+,13372,542031,2467
Cancer,GR113-019,Massachusetts,25,Female,F,< 1 year,1,11,694251,0
Cancer,GR113-019,Massachusetts,25,Female,F,1-4 years,4-Jan,58,2794220,2.1
Cancer,GR113-019,Massachusetts,25,Female,F,5-14 years,14-May,145,7493013,1.9
Cancer,GR113-019,Massachusetts,25,Female,F,15-24 years,15-24,215,8576319,2.5
Cancer,GR113-019,Massachusetts,25,Female,F,25-34 years,25-34,650,8517585,7.6
Cancer,GR113-019,Massachusetts,25,Female,F,35-44 years,35-44,2914,9092443,32
Cancer,GR113-019,Massachusetts,25,Female,F,45-54 years,45-54,9383,9345447,100.4
Cancer,GR113-019,Massachusetts,25,Female,F,55-64 years,55-64,19014,7397231,257
Cancer,GR113-019,Massachusetts,25,Female,F,65-74 years,65-74,28294,4890356,578.6
Cancer,GR113-019,Massachusetts,25,Female,F,75-84 years,75-84,37190,3504955,1061.1
Cancer,GR113-019,Massachusetts,25,Female,F,85+ years,85+,27005,1836427,1470.5
Cancer,GR113-019,Massachusetts,25,Male,M,< 1 year,1,13,725916,0
Cancer,GR113-019,Massachusetts,25,Male,M,1-4 years,4-Jan,69,2915373,2.4
Cancer,GR113-019,Massachusetts,25,Male,M,5-14 years,14-May,177,7845821,2.3
Cancer,GR113-019,Massachusetts,25,Male,M,15-24 years,15-24,316,8642017,3.7
Cancer,GR113-019,Massachusetts,25,Male,M,25-34 years,25-34,642,8328661,7.7
Cancer,GR113-019,Massachusetts,25,Male,M,35-44 years,35-44,2282,8729456,26.1
Cancer,GR113-019,Massachusetts,25,Male,M,45-54 years,45-54,9220,8861385,104
Cancer,GR113-019,Massachusetts,25,Male,M,55-64 years,55-64,21882,6791923,322.2
Cancer,GR113-019,Massachusetts,25,Male,M,65-74 years,65-74,32855,4098048,801.7
Cancer,GR113-019,Massachusetts,25,Male,M,75-84 years,75-84,37967,2354990,1612.2
Cancer,GR113-019,Massachusetts,25,Male,M,85+ years,85+,20663,797365,2591.4
Cancer,GR113-019,Michigan,26,Female,F,< 1 year,1,18,1120736,0
Cancer,GR113-019,Michigan,26,Female,F,1-4 years,4-Jan,113,4609538,2.5
Cancer,GR113-019,Michigan,26,Female,F,5-14 years,14-May,288,12589223,2.3
Cancer,GR113-019,Michigan,26,Female,F,15-24 years,15-24,420,13101152,3.2
Cancer,GR113-019,Michigan,26,Female,F,25-34 years,25-34,1217,11765081,10.3
Cancer,GR113-019,Michigan,26,Female,F,35-44 years,35-44,4853,13057579,37.2
Cancer,GR113-019,Michigan,26,Female,F,45-54 years,45-54,16651,13897982,119.8
